app_id,review_date,review_title,user_role_title,company_industry,company_size,score
12,"<div class=""review-date"">October 29, 2019</div>",['GNC Ceridian Dayforce Review'],"<div class=""position"">Accounting/HR Systems Analyst</div>","<span class=""industry-type"">Paper &amp; Forest Products</span>","<span class=""size"">501-1000 employees</span>",6
13,"<div class=""review-date"">October 28, 2019</div>","['Use the Dayforce, Luke']","<div class=""position"">HRIS Analyst</div>","<span class=""industry-type"">Automotive</span>","<span class=""size"">1001-5000 employees</span>",9
14,"<div class=""review-date"">October 28, 2019</div>",['Wonderful integrated HCM Solution!'],"<div class=""position"">VP, HR &amp; Safety</div>","<span class=""industry-type"">Transportation/Trucking/Railroad</span>","<span class=""size"">501-1000 employees</span>",10
15,"<div class=""review-date"">October 28, 2019</div>",['An engineer with a passion for HR technology'],"<div class=""position"">HRIS Manager</div>","<span class=""industry-type"">Hospital &amp; Health Care</span>","<span class=""size"">1001-5000 employees</span>",9
16,"<div class=""review-date"">Updated October 28, 2019</div>","[""Dayforce Payroll is a '10'""]","<div class=""position"">Supervisor, Global Payroll and Accounts Receivable</div>","<span class=""industry-type"">Retail</span>","<span class=""size"">1001-5000 employees</span>",8
17,"<div class=""review-date"">April 01, 2020</div>",['Ceridian Dayforce Review'],"<div class=""position"">Director, Human Resources</div>","<span class=""industry-type"">Hospitality</span>","<span class=""size"">5001-10,000 employees</span>",5
18,"<div class=""review-date"">Updated December 06, 2019</div>",['Nothing like Ceridian'],"<div class=""position"">Director, Human Resources</div>","<span class=""industry-type"">Mining &amp; Metals</span>","<span class=""size"">501-1000 employees</span>",8
19,"<div class=""review-date"">November 30, 2019</div>",['Dayforce Powerforce'],"<div class=""position"">Senior Corporate Accountant</div>","<span class=""industry-type"">Real Estate</span>","<span class=""size"">501-1000 employees</span>",8
20,"<div class=""review-date"">November 27, 2019</div>",['User friendly review'],"<div class=""position"">Recruitment Manager</div>","<span class=""industry-type"">Hospital &amp; Health Care</span>","<span class=""size"">501-1000 employees</span>",8
21,"<div class=""review-date"">Updated November 22, 2019</div>",['Time to start using Ceridian Dayforce'],"<div class=""position"">Universal agent</div>","<span class=""industry-type"">Retail</span>","<span class=""size"">5001-10,000 employees</span>",9
22,"<div class=""review-date"">November 15, 2019</div>",['Dayforce Review'],"<div class=""position"">Payroll Manager</div>","<span class=""industry-type"">Pharmaceuticals</span>","<span class=""size"">501-1000 employees</span>",5
23,"<div class=""review-date"">November 08, 2019</div>","['Overall, A Good Product']","<div class=""position"">Human Resources Associate</div>","<span class=""industry-type"">Real Estate</span>","<span class=""size"">201-500 employees</span>",7
24,"<div class=""review-date"">November 02, 2019</div>",['Longtime User'],"<div class=""position"">Sr. Business Systems Analyst</div>","<span class=""industry-type"">Retail</span>","<span class=""size"">10,001+ employees</span>",9
25,"<div class=""review-date"">October 31, 2019</div>",['Ceridian Dayforce: May the Force be with You'],"<div class=""position"">Director Retail Operations</div>","<span class=""industry-type"">Consumer Goods</span>","<span class=""size"">1001-5000 employees</span>",10
26,"<div class=""review-date"">October 31, 2019</div>",['Balanced report'],"<div class=""position"">Director, Talent Operations</div>","<span class=""industry-type"">Consumer Goods</span>","<span class=""size"">5001-10,000 employees</span>",7
27,"<div class=""review-date"">October 30, 2019</div>",['Great product'],"<div class=""position"">Director of Human Resources</div>","<span class=""industry-type"">Hospital &amp; Health Care</span>","<span class=""size"">501-1000 employees</span>",9
28,"<div class=""review-date"">October 30, 2019</div>",['Program gives employees the ability to take charge of their personal information.'],"<div class=""position"">HR/pr Specialist</div>","<span class=""industry-type"">Financial Services</span>","<span class=""size"">201-500 employees</span>",8
29,"<div class=""review-date"">October 30, 2019</div>",['No nonsense numbers and analytics.'],"<div class=""position"">Director, Compensation &amp; Benefits</div>","<span class=""industry-type"">Wholesale</span>","<span class=""size"">501-1000 employees</span>",8
30,"<div class=""review-date"">October 30, 2019</div>",['Pretty good but could be better.'],"<div class=""position"">Payroll/HR Specialist</div>","<span class=""industry-type"">Retail</span>","<span class=""size"">1001-5000 employees</span>",7
31,"<div class=""review-date"">October 30, 2019</div>",['Dayforce -- Excellent system with potential.'],"<div class=""position"">HR Data Analyst</div>","<span class=""industry-type"">Renewables &amp; Environment</span>","<span class=""size"">1001-5000 employees</span>",9
32,"<div class=""review-date"">October 29, 2019</div>",['Ceridian Dayforce - Highly Recommend'],"<div class=""position"">Executive Vice President Human Resources</div>","<span class=""industry-type"">Sports</span>","<span class=""size"">1001-5000 employees</span>",10
33,"<div class=""review-date"">October 29, 2019</div>",['Ceridian Dayforce Review'],"<div class=""position"">Assistant Director, Human Resources</div>","<span class=""industry-type"">Computer Software</span>","<span class=""size"">201-500 employees</span>",8
34,"<div class=""review-date"">October 29, 2019</div>",['A New Time & Attendance User'],"<div class=""position"">VP, Sr. Manager Payroll</div>","<span class=""industry-type"">Investment Management</span>","<span class=""size"">5001-10,000 employees</span>",9
35,"<div class=""review-date"">October 29, 2019</div>",['All things Payroll'],"<div class=""position"">Payroll Administrator</div>","<span class=""industry-type"">Sports</span>","<span class=""size"">1001-5000 employees</span>",8
36,"<div class=""review-date"">October 29, 2019</div>",['Amazon reward survey'],"<div class=""position"">Accounting Manager</div>","<span class=""industry-type"">Hospitality</span>","<span class=""size"">51-200 employees</span>",8
37,"<div class=""review-date"">October 29, 2019</div>","['Excellent Product, Poor Implementation']","<div class=""position"">Payroll Manager</div>","<span class=""industry-type"">Insurance</span>","<span class=""size"">501-1000 employees</span>",7
38,"<div class=""review-date"">October 29, 2019</div>",['Dayforce Experience'],"<div class=""position"">Payroll Services Analyst</div>","<span class=""industry-type"">Automotive</span>","<span class=""size"">501-1000 employees</span>",8
39,"<div class=""review-date"">October 29, 2019</div>",['Mexichem review of Dayforce HCM'],"<div class=""position"">HR Generalist</div>","<span class=""industry-type"">Chemicals</span>","<span class=""size"">201-500 employees</span>",8
40,"<div class=""review-date"">Updated October 29, 2019</div>",['Ceridian Dayforce Rocks!!!'],"<div class=""position"">Payroll Administrator</div>","<span class=""industry-type"">Health, Wellness and Fitness</span>","<span class=""size"">1001-5000 employees</span>",10
41,"<div class=""review-date"">October 29, 2019</div>",['A work in progress.'],"<div class=""position"">Human Resources Generalist</div>","<span class=""industry-type"">Industrial Automation</span>","<span class=""size"">201-500 employees</span>",8
42,"<div class=""review-date"">October 29, 2019</div>",['Dayforce Review 2019'],"<div class=""position"">Sr HRIS Analyst</div>","<span class=""industry-type"">Business Supplies and Equipment</span>","<span class=""size"">1001-5000 employees</span>",10
43,"<div class=""review-date"">October 28, 2019</div>",['Dayforce will make your life better.'],"<div class=""position"">Payroll Manager</div>","<span class=""industry-type"">Retail</span>","<span class=""size"">501-1000 employees</span>",8
44,"<div class=""review-date"">October 28, 2019</div>",['A great fit between HR and Payroll'],"<div class=""position"">Manager,Training and Administration</div>","<span class=""industry-type"">Real Estate</span>","<span class=""size"">501-1000 employees</span>",10
45,"<div class=""review-date"">October 28, 2019</div>",['4 Months in and Feeling Good'],"<div class=""position"">HR Generalist</div>","<span class=""industry-type"">Packaging and Containers</span>","<span class=""size"">501-1000 employees</span>",8
46,"<div class=""review-date"">Updated October 28, 2019</div>",['Review'],"<div class=""position"">HR Systems Analyst</div>","<span class=""industry-type"">Retail</span>","<span class=""size"">5001-10,000 employees</span>",7
47,"<div class=""review-date"">October 28, 2019</div>",['Rusti Lee’s Review of Ceridian Dayforce'],"<div class=""position"">Human Resources Generalist</div>","<span class=""industry-type"">Chemicals</span>","<span class=""size"">201-500 employees</span>",7
48,"<div class=""review-date"">October 28, 2019</div>","[""Ceridian Dayforce from an IT Analyst's POV""]","<div class=""position"">Business Systems Analyst</div>","<span class=""industry-type"">Logistics and Supply Chain</span>","<span class=""size"">1001-5000 employees</span>",9
49,"<div class=""review-date"">October 28, 2019</div>",['Dayforce is wonderful!'],"<div class=""position"">Compensation &amp; Payroll Supervisor</div>","<span class=""industry-type"">Wholesale</span>","<span class=""size"">501-1000 employees</span>",10
50,"<div class=""review-date"">October 28, 2019</div>",['Ceridian Dayforce Review'],"<div class=""position"">HCM System Manager</div>","<span class=""industry-type"">Insurance</span>","<span class=""size"">501-1000 employees</span>",7
51,"<div class=""review-date"">January 24, 2020</div>",['Ceridian Dayforce Review'],"<div class=""position"">Human Resources Manager</div>",None,"<span class=""size"">201-500 employees</span>",10
52,"<div class=""review-date"">November 27, 2019</div>",['Great System!'],"<div class=""position"">Manager, Human Capital Management</div>","<span class=""industry-type"">Financial Services</span>","<span class=""size"">51-200 employees</span>",9
53,"<div class=""review-date"">Updated November 07, 2019</div>",['Evaluating HRIS Systems? Go With Ceridian Dayforce!'],"<div class=""position"">VP, Compensation/HRIS Manager</div>","<span class=""industry-type"">Banking</span>","<span class=""size"">501-1000 employees</span>",10
54,"<div class=""review-date"">October 30, 2019</div>",['Dayforce Review'],"<div class=""position"">Payroll Manager</div>","<span class=""industry-type"">Medical Devices</span>","<span class=""size"">501-1000 employees</span>",6
55,"<div class=""review-date"">October 30, 2019</div>",['Good Product'],"<div class=""position"">Sr. Payroll Analyst</div>","<span class=""industry-type"">Commercial Real Estate</span>","<span class=""size"">201-500 employees</span>",5
56,"<div class=""review-date"">October 30, 2019</div>",['Ceridian Dayforce Payroll Review'],"<div class=""position"">Manager - Accounting Services</div>","<span class=""industry-type"">Facilities Services</span>","<span class=""size"">5001-10,000 employees</span>",10
57,"<div class=""review-date"">October 30, 2019</div>",['Let Dayforce make your day.'],"<div class=""position"">Employee Relations Specialist II</div>","<span class=""industry-type"">Financial Services</span>","<span class=""size"">201-500 employees</span>",10
58,"<div class=""review-date"">October 29, 2019</div>",['New to Dayforce'],"<div class=""position"">HR Manager</div>","<span class=""industry-type"">Transportation/Trucking/Railroad</span>","<span class=""size"">1001-5000 employees</span>",9
59,"<div class=""review-date"">October 29, 2019</div>",['A Better Solution than ADP'],"<div class=""position"">Talent Acquisition Manager</div>","<span class=""industry-type"">Transportation/Trucking/Railroad</span>","<span class=""size"">1001-5000 employees</span>",8
60,"<div class=""review-date"">October 29, 2019</div>",['Ceridian Dayforce Review - Insights 2019'],"<div class=""position"">Payroll Administrator</div>","<span class=""industry-type"">Hospitality</span>","<span class=""size"">1001-5000 employees</span>",7
61,"<div class=""review-date"">October 29, 2019</div>",['Dayforce rocks!'],"<div class=""position"">HR Coordinator</div>","<span class=""industry-type"">Warehousing</span>","<span class=""size"">1001-5000 employees</span>",7
62,"<div class=""review-date"">October 29, 2019</div>",['Single Database & Compliance For The Win'],"<div class=""position"">Head of ePMO &amp; Quality Assurance</div>","<span class=""industry-type"">Retail</span>","<span class=""size"">5001-10,000 employees</span>",9
63,"<div class=""review-date"">October 29, 2019</div>",['Ceridian Dayforce Review'],"<div class=""position"">Payroll Benefits Admin</div>","<span class=""industry-type"">Health, Wellness and Fitness</span>","<span class=""size"">501-1000 employees</span>",5
64,"<div class=""review-date"">October 29, 2019</div>",['Looking forward to growing our business by using Dayforce'],"<div class=""position"">Owner</div>","<span class=""industry-type"">Retail</span>","<span class=""size"">51-200 employees</span>",10
65,"<div class=""review-date"">October 29, 2019</div>",['Like what I see so far...'],"<div class=""position"">Accountant</div>","<span class=""industry-type"">Hospital &amp; Health Care</span>","<span class=""size"">51-200 employees</span>",7
66,"<div class=""review-date"">October 29, 2019</div>",['Excellent integrated HCM solution set'],"<div class=""position"">VP of Information Technology</div>","<span class=""industry-type"">Hospital &amp; Health Care</span>","<span class=""size"">5001-10,000 employees</span>",10
67,"<div class=""review-date"">October 29, 2019</div>","['New client, still researching sources to assist our not-perfect implementation.']","<div class=""position"">HR , Benefits, Payroll Manager</div>","<span class=""industry-type"">Construction</span>","<span class=""size"">1001-5000 employees</span>",7
68,"<div class=""review-date"">October 29, 2019</div>",['Dayforce Review'],"<div class=""position"">Training &amp; Leadership Development Manager</div>","<span class=""industry-type"">Food Production</span>","<span class=""size"">501-1000 employees</span>",7
69,"<div class=""review-date"">October 28, 2019</div>",['Payroll Manager'],"<div class=""position"">Payroll Manager</div>","<span class=""industry-type"">Transportation/Trucking/Railroad</span>","<span class=""size"">501-1000 employees</span>",9
70,"<div class=""review-date"">February 26, 2020</div>",['Ceridian Dayforce saved my life!'],"<div class=""position"">Manager in Human Resources</div>","<span class=""industry-type"">Civic &amp; Social Organization<span> Company</span></span>","<span class=""size"">51-200 employees</span>",9
71,"<div class=""review-date"">Updated February 18, 2020</div>",['Dayforce single platform works!'],"<div class=""position"">Manager in Corporate</div>","<span class=""industry-type"">Food Production<span> Company</span></span>","<span class=""size"">201-500 employees</span>",10
72,"<div class=""review-date"">February 25, 2020</div>",['Excellent platform for payroll and benefits'],"<div class=""position"">Employee in Other</div>","<span class=""industry-type"">Media Production<span> Company</span></span>","<span class=""size"">51-200 employees</span>",7
73,"<div class=""review-date"">October 29, 2019</div>",['Ceridian Dayforce and its one platform gives ease of use for the entire employee lifecycle.'],"<div class=""position"">C-Level Executive in Human Resources</div>","<span class=""industry-type"">Non-Profit Organization Management<span> Company</span></span>","<span class=""size"">1001-5000 employees</span>",10
74,"<div class=""review-date"">October 28, 2019</div>",['Handy Product'],"<div class=""position"">Manager in Other</div>","<span class=""industry-type"">Pharmaceuticals<span> Company</span></span>","<span class=""size"">1001-5000 employees</span>",8
75,"<div class=""review-date"">Updated December 10, 2019</div>",['New to Ceridian!'],"<div class=""position"">Manager in Finance and Accounting</div>","<span class=""industry-type"">Pharmaceuticals<span> Company</span></span>","<span class=""size"">51-200 employees</span>",8
76,"<div class=""review-date"">Updated November 27, 2019</div>",['Dayforce Review'],"<div class=""position"">Manager in Finance and Accounting</div>","<span class=""industry-type"">Design<span> Company</span></span>","<span class=""size"">10,001+ employees</span>",8
77,"<div class=""review-date"">November 25, 2019</div>",['One year into Ceridian'],"<div class=""position"">Professional in Human Resources</div>","<span class=""industry-type"">Food Production<span> Company</span></span>","<span class=""size"">201-500 employees</span>",9
78,"<div class=""review-date"">November 22, 2019</div>",['Heaven Sent Software for High Turnover/Complex Organizations'],"<div class=""position"">Professional in Human Resources</div>","<span class=""industry-type"">Retail<span> Company</span></span>","<span class=""size"">1001-5000 employees</span>",10
79,"<div class=""review-date"">November 16, 2019</div>",['Ceridian Dayforce Review'],"<div class=""position"">Project Manager in Other</div>","<span class=""industry-type"">Retail<span> Company</span></span>","<span class=""size"">1001-5000 employees</span>",10
80,"<div class=""review-date"">November 07, 2019</div>",['My insight on Insights.'],"<div class=""position"">Professional in Human Resources</div>","<span class=""industry-type"">Mining &amp; Metals<span> Company</span></span>","<span class=""size"">10,001+ employees</span>",7
81,"<div class=""review-date"">November 01, 2019</div>",['Saves time that would be spent looking for lost files and money!'],"<div class=""position"">Administrative Assistant in Human Resources</div>","<span class=""industry-type"">Higher Education<span> Company</span></span>","<span class=""size"">201-500 employees</span>",9
82,"<div class=""review-date"">October 30, 2019</div>",['Dayforce from an IS analyst perspective'],"<div class=""position"">Analyst in Information Technology</div>","<span class=""industry-type"">Logistics and Supply Chain<span> Company</span></span>","<span class=""size"">501-1000 employees</span>",9
83,"<div class=""review-date"">October 30, 2019</div>","['Dayforce is innovative, but needs improvement on the simple things.']","<div class=""position"">Professional in Finance and Accounting</div>","<span class=""industry-type"">Banking<span> Company</span></span>","<span class=""size"">201-500 employees</span>",5
84,"<div class=""review-date"">October 30, 2019</div>",['Insight 2019 Dayforce Review'],"<div class=""position"">Analyst in Finance and Accounting</div>","<span class=""industry-type"">Government Administration<span> Company</span></span>","<span class=""size"">501-1000 employees</span>",9
85,"<div class=""review-date"">October 30, 2019</div>",['Dayforce Pros/Cons'],"<div class=""position"">Employee in Human Resources</div>","<span class=""industry-type"">Hospital &amp; Health Care<span> Company</span></span>","<span class=""size"">501-1000 employees</span>",7
86,"<div class=""review-date"">October 30, 2019</div>","[""Ceridian Report Card: Doesn't adapt well to change, doesn't play well with others.""]","<div class=""position"">Analyst in Human Resources</div>","<span class=""industry-type"">Pharmaceuticals<span> Company</span></span>","<span class=""size"">1001-5000 employees</span>",3
87,"<div class=""review-date"">Updated October 30, 2019</div>",['Single application and Platform is a Timesaver!'],"<div class=""position"">Vice-President in Human Resources</div>","<span class=""industry-type"">Non-Profit Organization Management<span> Company</span></span>","<span class=""size"">1001-5000 employees</span>",10
88,"<div class=""review-date"">October 29, 2019</div>",['Great for Payroll/WFM'],"<div class=""position"">Administrator in Finance and Accounting</div>","<span class=""industry-type"">Chemicals<span> Company</span></span>","<span class=""size"">201-500 employees</span>",7
89,"<div class=""review-date"">October 29, 2019</div>",['Improved my work life!'],"<div class=""position"">Employee in Human Resources</div>","<span class=""industry-type"">Medical Practice<span> Company</span></span>","<span class=""size"">501-1000 employees</span>",8
90,"<div class=""review-date"">October 29, 2019</div>",['Dayforce Review'],"<div class=""position"">Manager in Human Resources</div>","<span class=""industry-type"">Luxury Goods &amp; Jewelry<span> Company</span></span>","<span class=""size"">1001-5000 employees</span>",9
91,"<div class=""review-date"">October 29, 2019</div>",['My Ceridian Dayforce Review'],"<div class=""position"">Manager in Human Resources</div>","<span class=""industry-type"">Biotechnology<span> Company</span></span>","<span class=""size"">201-500 employees</span>",8
92,"<div class=""review-date"">October 29, 2019</div>",['Ceridian Dayforce is an outstanding HCM product!'],"<div class=""position"">Administrator in Human Resources</div>","<span class=""industry-type"">Banking<span> Company</span></span>","<span class=""size"">201-500 employees</span>",10
93,"<div class=""review-date"">October 29, 2019</div>",['Dayforce Review'],"<div class=""position"">Analyst in Human Resources</div>","<span class=""industry-type"">Non-Profit Organization Management<span> Company</span></span>","<span class=""size"">501-1000 employees</span>",7
94,"<div class=""review-date"">October 29, 2019</div>",['Dayforce Review (2019)'],"<div class=""position"">Professional in Human Resources</div>","<span class=""industry-type"">Non-Profit Organization Management<span> Company</span></span>","<span class=""size"">201-500 employees</span>",6
95,"<div class=""review-date"">Updated October 29, 2019</div>","['Good, but could be better']","<div class=""position"">Analyst in Human Resources</div>","<span class=""industry-type"">Financial Services<span> Company</span></span>","<span class=""size"">1001-5000 employees</span>",8
96,"<div class=""review-date"">Updated October 29, 2019</div>",['Just My Take'],"<div class=""position"">Manager in Human Resources</div>","<span class=""industry-type"">Sports<span> Company</span></span>","<span class=""size"">501-1000 employees</span>",9
97,"<div class=""review-date"">October 28, 2019</div>",['Easy to use'],"<div class=""position"">Director in Human Resources</div>","<span class=""industry-type"">Retail<span> Company</span></span>","<span class=""size"">1001-5000 employees</span>",10
98,"<div class=""review-date"">October 28, 2019</div>",['Ceridian Dayforce Review'],"<div class=""position"">Employee in Finance and Accounting</div>","<span class=""industry-type"">Automotive<span> Company</span></span>","<span class=""size"">1001-5000 employees</span>",7
99,"<div class=""review-date"">October 28, 2019</div>",['Dayforce Review'],"<div class=""position"">Analyst in Finance and Accounting</div>","<span class=""industry-type"">Leisure, Travel &amp; Tourism<span> Company</span></span>","<span class=""size"">1001-5000 employees</span>",6
100,"<div class=""review-date"">October 28, 2019</div>",['Ceridian: Good and Getting Better'],"<div class=""position"">Analyst in Human Resources</div>","<span class=""industry-type"">Real Estate<span> Company</span></span>","<span class=""size"">201-500 employees</span>",7
101,"<div class=""review-date"">October 28, 2019</div>",['On The Path Forward With Dayforce Implementation'],"<div class=""position"">Vice-President in Human Resources</div>","<span class=""industry-type"">Hospital &amp; Health Care<span> Company</span></span>","<span class=""size"">201-500 employees</span>",7
102,"<div class=""review-date"">October 28, 2019</div>",['Candid Dayforce Review'],"<div class=""position"">Analyst in Human Resources</div>","<span class=""industry-type"">Entertainment<span> Company</span></span>","<span class=""size"">1001-5000 employees</span>",6
103,"<div class=""review-date"">January 24, 2020</div>",['New user review of Dayforce'],"<div class=""position"">Employee in Human Resources</div>","<span class=""industry-type"">Mechanical or Industrial Engineering<span> Company</span></span>","<span class=""size"">501-1000 employees</span>",7
104,"<div class=""review-date"">Updated December 18, 2019</div>",['Benefits of Dayforce'],"<div class=""position"">Employee in Human Resources</div>","<span class=""industry-type"">Hospital &amp; Health Care<span> Company</span></span>","<span class=""size"">5001-10,000 employees</span>",7
105,"<div class=""review-date"">December 04, 2019</div>",['The good and the bad from a new user'],"<div class=""position"">Manager in Human Resources</div>","<span class=""industry-type"">Hospital &amp; Health Care<span> Company</span></span>","<span class=""size"">501-1000 employees</span>",5
106,"<div class=""review-date"">October 30, 2019</div>",['Ceridian Dayforce - Still Unsure.'],"<div class=""position"">Manager in Finance and Accounting</div>","<span class=""industry-type"">Sports<span> Company</span></span>","<span class=""size"">1001-5000 employees</span>",4
107,"<div class=""review-date"">October 30, 2019</div>","['Thoughts of a Post Implementation ""Fixer""']","<div class=""position"">Administrator in Finance and Accounting</div>","<span class=""industry-type"">Individual &amp; Family Services<span> Company</span></span>","<span class=""size"">201-500 employees</span>",8
108,"<div class=""review-date"">October 30, 2019</div>",['Ceridian Dayforce has integrated ALL of their products into one easy-to-use system.'],"<div class=""position"">Administrator in Human Resources</div>","<span class=""industry-type"">Plastics<span> Company</span></span>","<span class=""size"">1001-5000 employees</span>",8
109,"<div class=""review-date"">October 29, 2019</div>",['Still in the Honeymoon Stage!'],"<div class=""position"">Administrator in Human Resources</div>","<span class=""industry-type"">Hospital &amp; Health Care<span> Company</span></span>","<span class=""size"">201-500 employees</span>",4
110,"<div class=""review-date"">October 29, 2019</div>",['Ceridian is great.'],"<div class=""position"">Manager in Other</div>","<span class=""industry-type"">Oil &amp; Energy<span> Company</span></span>","<span class=""size"">1001-5000 employees</span>",9
111,"<div class=""review-date"">October 29, 2019</div>","['Great for payroll, time, and attendance; disappointing HCM so far.']","<div class=""position"">Executive in Human Resources</div>","<span class=""industry-type"">Electrical/Electronic Manufacturing<span> Company</span></span>","<span class=""size"">5001-10,000 employees</span>",5
112,"<div class=""review-date"">October 29, 2019</div>",['Good product that could use a bit more features and flexibility.'],"<div class=""position"">Analyst in Human Resources</div>","<span class=""industry-type"">Fishery<span> Company</span></span>","<span class=""size"">1001-5000 employees</span>",7
113,"<div class=""review-date"">October 29, 2019</div>",['Ceridian Recommendation'],"<div class=""position"">Supervisor in Human Resources</div>","<span class=""industry-type"">Consumer Goods<span> Company</span></span>","<span class=""size"">501-1000 employees</span>",7
114,"<div class=""review-date"">October 29, 2019</div>",['All-in-one solution provider.'],"<div class=""position"">Executive in Finance and Accounting</div>","<span class=""industry-type"">Hospitality<span> Company</span></span>","<span class=""size"">201-500 employees</span>",9
115,"<div class=""review-date"">October 27, 2019</div>",['Happy with the experience and optimistic about future possibilities!'],"<div class=""position"">Human Resources Specialist</div>","<span class=""industry-type"">Transportation/Trucking/Railroad</span>","<span class=""size"">1001-5000 employees</span>",9
116,"<div class=""review-date"">October 24, 2019</div>",['Dayforce: Good for the organization that likes to take control of their data'],"<div class=""position"">Corporate Human Resources Manager</div>","<span class=""industry-type"">Hospitality</span>","<span class=""size"">501-1000 employees</span>",7
117,"<div class=""review-date"">Updated October 22, 2019</div>",['Robust System But Poor Customer Support'],"<div class=""position"">Human Resources Manager</div>","<span class=""industry-type"">Commercial Real Estate</span>","<span class=""size"">201-500 employees</span>",7
118,"<div class=""review-date"">Updated October 22, 2019</div>",['Dayforce from a Multi-state and International Perspective'],"<div class=""position"">Payroll Specialist</div>","<span class=""industry-type"">Education Management</span>","<span class=""size"">501-1000 employees</span>",8
119,"<div class=""review-date"">September 02, 2019</div>","[""Excellent product for NFPO's to prove to donors that funds are being used appropriately""]","<div class=""position"">President</div>","<span class=""industry-type"">Non-Profit Organization Management</span>","<span class=""size"">11-50 employees</span>",7
120,"<div class=""review-date"">August 23, 2019</div>","['Over-promised, Under-delivered User Experience']","<div class=""position"">VP Finance</div>","<span class=""industry-type"">Automotive</span>","<span class=""size"">501-1000 employees</span>",1
121,"<div class=""review-date"">Updated August 23, 2019</div>",['Dayforce is a strong product'],"<div class=""position"">Director, Human Resources</div>","<span class=""industry-type"">Building Materials</span>","<span class=""size"">501-1000 employees</span>",8
122,"<div class=""review-date"">August 15, 2019</div>",['Great Product and Excellent Support Team'],"<div class=""position"">Payroll &amp; Pension Supervisor</div>","<span class=""industry-type"">Government Administration</span>","<span class=""size"">501-1000 employees</span>",10
123,"<div class=""review-date"">August 13, 2019</div>",['Happy with Dayforce'],"<div class=""position"">Human Resources/Payroll Administrator</div>","<span class=""industry-type"">Recreational Facilities and Services</span>","<span class=""size"">51-200 employees</span>",9
124,"<div class=""review-date"">Updated August 08, 2019</div>",['Dayforce HCM - A Global Solution'],"<div class=""position"">HR Analyst</div>","<span class=""industry-type"">Human Resources</span>","<span class=""size"">201-500 employees</span>",9
125,"<div class=""review-date"">Updated August 07, 2019</div>",['Ceridian Dayforce HCM is a great investment for large organizations'],"<div class=""position"">IT Administrative Specialist</div>","<span class=""industry-type"">Non-Profit Organization Management</span>","<span class=""size"">1001-5000 employees</span>",9
126,"<div class=""review-date"">Updated August 04, 2019</div>",['Dayforce is the best solution for our company!'],"<div class=""position"">Manager, Payroll &amp; Accounts Payable Services</div>","<span class=""industry-type"">Retail</span>","<span class=""size"">1001-5000 employees</span>",10
127,"<div class=""review-date"">Updated July 30, 2019</div>",['From Life Support to Wellness:  A transformation of our HCM heatlh'],"<div class=""position"">Dir of Cash Mgt, Corp Taxes, Payroll &amp; Benefits</div>","<span class=""industry-type"">Medical Practice</span>","<span class=""size"">1001-5000 employees</span>",9
