Category,Subcategories
"Information Technology Software
",Cloud Storage Systems
"Information Technology Software
",Communications Outsourcing Services
"Information Technology Software
",Complex Event Processing Software
"Information Technology Software
",Compliance Consulting Services
"Information Technology Software
",Configuration Management Tools
"Information Technology Software
",Configuration Management Databases
"Information Technology Software
",Container Management Software
"Information Technology Software
",Content Delivery Networks (CDN)
"Information Technology Software
",Converged Infrastructure Platforms
"Information Technology Software
",Converged Network Adapters (CNAs)
"Information Technology Software
",Data Center Backup Solutions
"Information Technology Software
",Data Center Cooling Systems
"Information Technology Software
",Data Center Infrastructure Management Software
"Information Technology Software
",Data Center Networking Equipment
"Information Technology Software
",Data Center Outsourcing (Canada) Services
"Information Technology Software
",Data Center Outsourcing (Europe) Services
"Information Technology Software
",Data Center Outsourcing (USA) Services
"Information Technology Software
",Data Center Power Solutions
"Information Technology Software
",Data Center Virtualization Software
"Information Technology Software
",Data Deduplication Tools
"Information Technology Software
",Data Integration Tools
"Information Technology Software
",Data Loss Prevention Software
"Information Technology Software
",Data Masking Tools
"Information Technology Software
",Data Preparation Tools
"Information Technology Software
",Data Quality Software
"Information Technology Software
",Data Recovery Service Providers
"Information Technology Software
",Data Replication Software
"Information Technology Software
",Data Virtualization Tools
"Information Technology Software
",Data Warehouse Software
"Information Technology Software
",Database Load Balancing
"Information Technology Software
",Database Management Software
"Information Technology Software
",Database Performance Monitoring Tools
"Information Technology Software
",Database Security Tools
"Information Technology Software
",Database-as-a-Service (DBaaS)
"Information Technology Software
",Debugging Tools
"Information Technology Software
",Desktop Management Software
"Information Technology Software
",Desktop Outsourcing Services
"Information Technology Software
",Disaster Recovery Software
"Information Technology Software
",Disaster Recovery as a Service (DRaaS) Companies
"Information Technology Software
",Disk Based Backup Systems
"Information Technology Software
",Distributed Denial of Service (DDoS) Protection Solutions
"Information Technology Software
",Dynamic Application Security Testing (DAST) Tools
"Information Technology Software
",Electronic Data Interchange (EDI)
"Information Technology Software
",Email Encryption Software
"Information Technology Software
",Embedded Database Systems
"Information Technology Software
",Endpoint Backup Solutions
"Information Technology Software
",Endpoint Encryption Software
"Information Technology Software
",Enterprise Architecture Management Software
"Information Technology Software
",Enterprise Asset Management Software
"Information Technology Software
",Enterprise Flash Array Storage Solutions
"Information Technology Software
",Enterprise Service Bus Software
"Information Technology Software
",Ethernet Switches
"Information Technology Software
",Event Monitoring Software
"Information Technology Software
",Facility Management Software
"Information Technology Software
",Firewall Software
"Information Technology Software
",Firewall Security Management Software
"Information Technology Software
",Fraud Detection Software
"Information Technology Software
",Geographic Information Systems
"Information Technology Software
","Governance, Risk & Compliance Platforms"
"Information Technology Software
",Hadoop-Related Software
"Information Technology Software
",High Availability Cluster Software
"Information Technology Software
",Hosted Virtual Desktop Services
"Information Technology Software
",Hyper-Converged Infrastructure Systems
"Information Technology Software
",IP Address Management (IPAM) Tools
"Information Technology Software
",IP PBX Systems
"Information Technology Software
",IT Asset Disposal Services
"Information Technology Software
",IT Asset Management Software
"Information Technology Software
",IT Infrastructure Monitoring Tools
"Information Technology Software
",IT Operations Analytics Software
"Information Technology Software
",IT Service Management (ITSM) Software
"Information Technology Software
",Identity Management Solutions
"Information Technology Software
",Infrastructure Capacity Planning Tools
"Information Technology Software
",Infrastructure-as-a-Service Solutions
"Information Technology Software
",Integrated Development Environment (IDE) Software
"Information Technology Software
",Integrated Workplace Management (IWMS) Systems
"Information Technology Software
",Integration Platform as a Service (iPaaS) Software
"Information Technology Software
",Intellectual Property (IP) Management Software
"Information Technology Software
",Internet Security Software
"Information Technology Software
",Intrusion Detection Systems
"Information Technology Software
",LAN Switches
"Information Technology Software
",License Management Software
"Information Technology Software
",Load Testing Tools
"Information Technology Software
",Log Management Tools
"Information Technology Software
",Low-Code Development Platforms
"Information Technology Software
",M2M Application Development Platform
"Information Technology Software
",Mainframe Monitoring Tools
"Information Technology Software
",Managed File Transfer (MFT) Software
"Information Technology Software
",Managed IT Service Providers
"Information Technology Software
",Managed Print Services
"Information Technology Software
",Master Data Management (MDM) Software
"Information Technology Software
",Message Oriented Middleware
"Information Technology Software
",Message Queue Software
"Information Technology Software
",Migration Tools
"Information Technology Software
",Mobile Application Performance Monitoring (APM) Software
"Information Technology Software
",Mobile Data Security Software
"Information Technology Software
",Mobile Identity Software
"Information Technology Software
",Modular Storage Area Network (SAN) Solutions
"Information Technology Software
",Monolithic Frame-based Disk Arrays
"Information Technology Software
",Network Access Control (NAC) Solutions
"Information Technology Software
",Network Behavior Analysis Software
"Information Technology Software
",Network Diagnostics Tools
"Information Technology Software
",Network Function Virtualization (NFV)
"Information Technology Software
",Network Monitoring Tools
"Information Technology Software
",Network Performance Monitoring Tools
"Information Technology Software
",Network Security Software
"Information Technology Software
",Network Simulation Software
"Information Technology Software
",Network Troubleshooting Tools
"Information Technology Software
",Network Virtualization Software
"Information Technology Software
",Network-Attached Storage Devices
"Information Technology Software
",NoSQL Databases
"Information Technology Software
",Non-Relational Databases
"Information Technology Software
",Office Suites Software
"Information Technology Software
",Open-Source Database Software
"Information Technology Software
",OpenStack Cloud Software
"Information Technology Software
",Operating Systems
"Information Technology Software
",Operational Analytics Software
"Information Technology Software
",Output Management Software
"Information Technology Software
",Platform-as-a-Service (PaaS) Solutions
"Information Technology Software
",Project Portfolio Management Software
"Information Technology Software
",Rack Servers
"Information Technology Software
",Relational Databases
"Information Technology Software
",Release Management Tools
"Information Technology Software
",Remote Desktop Software
"Information Technology Software
",Requirements Management Software
"Information Technology Software
",Routers
"Information Technology Software
",SOA Application Gateways
"Information Technology Software
",SOA Governance Software
"Information Technology Software
",SQL Server Performance Monitoring Tools
"Information Technology Software
",Scale-Out Storage Solutions
"Information Technology Software
",Secure Email Gateway Software
"Information Technology Software
",Secure Web Gateway
"Information Technology Software
",Security Information and Event Management (SIEM) Software
"Information Technology Software
",Server Virtualization Software
"Information Technology Software
",Service Desk Outsourcing Companies
"Information Technology Software
",Service Virtualization Tools
"Information Technology Software
",Session Border Controllers
"Information Technology Software
",Single Sign-On Solutions
"Information Technology Software
",Software Asset Management Tools
"Information Technology Software
",Software Components
"Information Technology Software
",Software Defined Networking (SDN)
"Information Technology Software
",Software Defined Storage (SDS) Solutions
"Information Technology Software
",Software Distribution Tools
"Information Technology Software
",Software-Defined WAN Solutions
"Information Technology Software
",Solid State Drives
"Information Technology Software
",Storage Area Network Solutions
"Information Technology Software
",Storage Management Software
"Information Technology Software
",System Monitoring Software
"Information Technology Software
",Technology Business Management Software
"Information Technology Software
",Test Management Tools
"Information Technology Software
",Testing Services
"Information Technology Software
",Traffic Switching Solutions
"Information Technology Software
",Transportation & Logistics Software
"Information Technology Software
",Unified Communications Monitoring Software
"Information Technology Software
",Unified Communications as a Service (UCaaS) Solutions
"Information Technology Software
",User Activity Monitoring Software
"Information Technology Software
",User Virtualization Software
"Information Technology Software
",Virtual Desktop Infrastructure (VDI) Software
"Information Technology Software
",Virtual Private Network (VPN) Solutions
"Information Technology Software
",Virtualization Management Tools
"Information Technology Software
",Virtualization Security Solutions
"Information Technology Software
",VoIP Providers
"Information Technology Software
",VoIP Monitoring Software
"Information Technology Software
",Vulnerability Management Tools
"Information Technology Software
",WAN Optimization Solutions
"Information Technology Software
",Web Access Management Software
"Information Technology Software
",Web Content Filtering Solutions
"Information Technology Software
",Web Portal Software
"Information Technology Software
",Web Scraping Software
"Information Technology Software
",Website Hosting Services
"Information Technology Software
",WiFi Hotspot Software
"Information Technology Software
",Wireless LAN Tools
"Information Technology Software
",Wireless WAN Solutions
"Information Technology Software
",Workload Automation Software
"Marketing Software
",A/B Testing Tools
"Marketing Software
",Account-Based Marketing (ABM) Software
"Marketing Software
",Ad Serving & Retargeting Platforms
"Marketing Software
",All-in-One Marketing Platforms
"Marketing Software
",Appointment Scheduling Software
"Marketing Software
",Blogging Platforms
"Marketing Software
",Call Tracking Software
"Marketing Software
",Channel Marketing Management Software
"Marketing Software
",Community Platforms
"Marketing Software
",Consumer Ratings & Reviews Software
"Marketing Software
",Contact Center Software
"Marketing Software
",Contact Management Software
"Marketing Software
",Content Management Systems (CMS)
"Marketing Software
",Content Marketing Software
"Marketing Software
",Cross-Channel Campaign Management Software
"Marketing Software
",Customer Data Platforms (CDP)
"Marketing Software
",Customer Experience Management Software
"Marketing Software
",Customer Loyalty Program Software
"Marketing Software
",Customer Success Software
"Marketing Software
",Data Cleansing Tools
"Marketing Software
",Data Management Platforms (DMP)
"Marketing Software
",Digital Asset Management Software
"Marketing Software
",Domain Registration Services
"Marketing Software
",Ecommerce Personalization Software
"Marketing Software
",Email Marketing Software
"Marketing Software
",Enterprise Marketing Management Software
"Marketing Software
",Event Management Software
"Marketing Software
",Event Registration Software
"Marketing Software
",Gamification Software
"Marketing Software
",Grant Management Software
"Marketing Software
",Graphics Software
"Marketing Software
",Heatmap and Session Recording Software
"Marketing Software
",IP Geolocation Software
"Marketing Software
",Influencer Marketing Software
"Marketing Software
",Landing Page Software
"Marketing Software
",Local Marketing Software
"Marketing Software
",Marketing Analytics Tools
"Marketing Software
",Marketing Automation Software
"Marketing Software
",Marketing Intelligence Software
"Marketing Software
",Marketing Resource Management Software
"Marketing Software
",Mobile Advertising Platforms
"Marketing Software
",Mobile Analytics Tools
"Marketing Software
",Mobile Marketing Software
"Marketing Software
",Predictive Analytics Software
"Marketing Software
",Product Information Management (PIM) Software
"Marketing Software
",Product Management Software
"Marketing Software
",Public Relations (PR) Tools
"Marketing Software
",Real-Time Interaction Management Software
"Marketing Software
",Referral Marketing Software
"Marketing Software
",SEO Software
"Marketing Software
",Screen and Video Capture Software
"Marketing Software
",Search Engine Marketing (SEM) Tools
"Marketing Software
",Social Login Tools
"Marketing Software
",Social Media Advertising Software
"Marketing Software
",Social Media Analytics Tools
"Marketing Software
",Social Media Customer Service Software
"Marketing Software
",Social Media Management Tools
"Marketing Software
",Social Media Marketing Tools
"Marketing Software
",Social Media Monitoring Tools
"Marketing Software
",Social Media Publishing Tools
"Marketing Software
",Survey & Forms Building Tools
"Marketing Software
",Tag Management Solutions
"Marketing Software
",Translation Tools
"Marketing Software
",URL Shorteners
"Marketing Software
",Usability Testing Tools
"Marketing Software
",Video Platforms
"Marketing Software
",Web Analytics Tools
"Marketing Software
",Webinar Software
"Professional Services Software
",Email Signature Software
"Professional Services Software
",Field Service Management Software
"Professional Services Software
",Project Management Software
"Professional Services Software
",Prototyping Tools
"Sales Software
",CPQ Software
"Sales Software
",Customer Relationship Management (CRM) Software
"Sales Software
",Payment Gateway Software
"Sales Software
",Point of Sale Systems
"Sales Software
",Predictive Sales Analytics Tools
"Sales Software
",Proposal Software
"Sales Software
",Sales Acceleration Software
"Sales Software
",Sales Content Management Software
"Sales Software
",Sales Dialer Software
"Sales Software
",Sales Email Tracking Tools
"Sales Software
",Sales Enablement Software
"Sales Software
",Sales Forecasting Software
"Sales Software
",Sales Gamification Software
"Sales Software
",Sales Incentive Compensation Management Software
"Sales Software
",Sales Intelligence Software
"Sales Software
",Sales Performance Management Software
"Sales Software
",Sales Pipeline Software
"Sales Software
",eCommerce Platforms
"Vertical-Specific Software
",Construction Software
"Vertical-Specific Software
",Emergency Notification System
"Vertical-Specific Software
",Home Health Care Software
"Vertical-Specific Software
",Inventory Management Systems
"Vertical-Specific Software
",Law Practice Management Software
"Vertical-Specific Software
",Loan Servicing Software
"Vertical-Specific Software
",Medical Office EMR & EHR Software
"Vertical-Specific Software
",Nonprofit Advocacy Software
"Vertical-Specific Software
",Nonprofit CRM Software
"Vertical-Specific Software
",Nonprofit Fundraising Software
"Vertical-Specific Software
",Property Management & Real Estate Software
"Vertical-Specific Software
",Retail Management Systems
"Vertical-Specific Software
",Telemedicine Software
"Vertical-Specific Software
",eDiscovery Software
